1s	-u	-baiu	-eti	-araghju
2s	-i	-bai	-esti	-arai
3s	-a	-baia	-eti	-arà
1p	-emi	-baiami	-etimi	-aremi
2p	-eti	-baiati	-esti	-areti
3p	-ani	-baiani	-etini	-arani
