1s	-o	-aba	-é	-aré
2s	-as	-abas	-aste	-arás
3s	-a	-aba	-ó	-ará
1p	-amos	-ábamos	-amos	-aremos
2p	-áis	-ábais	-asteis	-aréis
3p	-an	-aban	-aron	-arán
