1s	-u	-ava	-ai	-eraghju
2s	-i	-avi	-asti	-erai
3s	-a	-ava	-ete	-erà
1p	-emu	-avamu	-aimu	-eremu
2p	-ate	-avate	-este	-erete
3p	-anu	-avanu	-onu	-eranu
