1s	-	-ɛ	-e	-əre
2s	-	-ɛ	-a	-əra
3s	-	-ɛ	-a	-əra
1p	-õ	-jõ	-am	-ərõ
2p	-e	-je	-at	-əre
3p	-	-ɛ	-ɛr	-ərõ
