	NOM	AKK	DAT	GEN
1s	ik	mij	mij	mijner	
2vs	jij	jou	jou	jouwer		
2hs	u	u	u	uwer
3s m	hij	hem	hem	zijner		
3s f	zij	haar	haar	harer
3s n	het	hem	hem	zijner
1p	wij	ons	ons	onzer
2vp	jullie	jullie	jullie	jullie
2hp	u	u	u	uwer
3p	zij	hen	hun	hunner
