	NOM	AKK	DAT	GEN	
1s	ich	mich	mir	meiner	
2vs	du	dich	dir	deiner	
2hs	sie	sie	ihnen	ihrer	
3s m	er	ihn	ihm	seiner	
3s f	sie	sie	ihr	ihrer	
3s n	es	es	ihm	seiner	
1p	wir	uns	uns	unser	
2vp	ihr	euch	euch	euer	
2hp	sie	sie	ihnen	ihrer	
3p	sie	sie	ihnen	ihrer	
