	NOM	AKK	DAT	GEN
1s	jag	mig	mig	min	
2vs	du	dig	dig	din	
2hs	ni	er	er	er
3s m	han	honom	honom	hans		
3s f	hon	henne	henne	hennes
3s n	det	det	det	dess
1p	vi	oss	oss	vår
2vp	ni	er	er	er
2hp	ni	er	er	er
3p	de	dem	dem	deras
