	NOM	AKK	DAT	GEN
1s	ek	my	my	myne	
2vs	jy	jou	jou	joune		
2hs	u	u	u	u s'n
3s m	hy	hom	sy	syne		
3s f	sy	haar	haar	hare
3s n	dit	dit	sy	syne
1p	ons	ons	ons	ons s'n
2vp	julle	julle	julle	julle s'n
2hp	u	u	u	u s'n
3p	hulle	hulle	hulle	hulle s'n
