	NOM	AKK	DAT	GEN
1s	I	me	me	mine	
2vs	thou	thee	thee	thine
2hs	you	you	you	yours		
3s m	he	him	him	his	
3s f	she	her	her	hers	
3s n	it	it	it	its	
1p	we	us	us	ours	
2vp	ye	you	you	yours
2hp	you	you	you	yours	
3p	they	them	them	theirs	
