	NOM	AKK	DAT	GEN	
1s	i	-mi	mia	mei	
2vs	du	-di	dia	dei	
2hs	si	eana	eana	eana
3s m	ea	eam	eam	sei	
3s f	se	eara	eara	ihr	
3s n	des	des	dem	sei
1p	mia	ins	ins	insa	
2vp	ia	eich	eich	eia	
2hp	ia	eich	eich	eia	
3p	se	ea	ea	eana	
