	NOM	AKK	DAT	GEN	
1s	ih	mih	mir	mīn	
2vs	dū	dih	dir	dīn	
2hs	ir	iuwih	iu	iuwēr	
3s m	er	inan	imu	sīn	
3s f	siu	sia	iru	ira	
3s n	iz	iz	imu	es	
1p	wir	unsih	uns	unsēr	
2vp	ir	iuwih	iu	iuwēr	
2hp	ir	iuwih	iu	iuwēr	
3p m	sie	sie	im	iro	
3p f	sio	sio	im	iro	
3p n	siu	siu	im	iro	
