	NOM	AKK	DAT	GEN
1s	'k	me	me	mijner	
2vs	je	je	je	jouwer		
2hs	u	u	u	uwer
3s m	ie	'm	'm	zijner		
3s f	ze	'r	'r	harer
3s n	't	't	't	zijner
1p	we	ons	ons	onzer
2vp	jullie	je	je	jullie
2hp	u	u	u	uwer
3p	ze	ze	ze	hunner
