1s	1a2-a	1a2-aði
2s	1a2-ar	1a2-aðir
3s	1a2-ar	1a2-aði
1p	1ö2-um	1ö2-uðum
2p	1a2-ið	1ö2-uðud
3p	1a2-a	1ö2-uðu
