	NOM	AKK	DAT	GEN	
1s	ik	meu	meu	meune	
2s	diu	deu	deu	deune	
3s m	hoi	iähne	iähne	seune	
3s f	soi	soi	iähr	iähre	
3s n	int	iät	iähne	seune
1p	weu	us	us	use	
2p	jeu	jiu	jiu	jiue	
3p	soi	soi	iähnen	iähre	
