	NOM	AKK	DAT	GEN
1s	ik	mī	mī	mīn	
2s	thū	thī	thī	thīn	
3s m	hē	ina	imu	is	
3s f	siu	sia	iru	ira	
3s n	it	it	it	is	
1p	wī	ūs	ūs	ūser	
2p	gī	eu	eu	euwar	
3p m	sia	sia	im	iro	
3p f	sia	sia	im	iro	
3p n	siu	siu	im	iro	
1d	wit	unk	unk	unkero
2d	git	ink	ink	inker
3d m	sia	sia	im	iro	
3d f	sia	sia	im	iro	
3d n	siu	siu	im	iro	
