	NOM	AKK	DAT	GEN
1s	eg	meg	meg	min	
2s	du	deg	deg	din	
3s m	han	han	han	hans		
3s f	ho	ho	ho	hennar
3s n	det	det	det	dess
1p	vi	oss	oss	vår
2p	de	dykk	dykk	dykkar
3p	dei	dei	dei	deira
