	NOM	AKK	DAT	GEN
1s	eg	meg	mær	mín	
2s	tú	teg	tær	tín	
3s m	hann	hann	honum	hansara	
3s f	hon	hana	henni	hennara	
3s n	tað	tað	tí	tess	
1p	vit	okkum	okkum	okkara	
2p	tit	tykkum	tykkum	tykkara	
3p m	teir	teir	teimum	teirra				
3p f	tær	tær	teimum	teirra				
3p n	tey	tey	teimum	teirra			
