	NOM	AKK	DAT	GEN	
1s	ik	mī	mī	mīn	
2s	thū	thī	thī	thīn	
3s m	hī	hine	him	sīn	
3s f	hiū	hiā	hire	hire	
3s n	hit	hit	him	sīn	
1p	wī	ūs	ūs	ūser	
2p	jī	jū	jū	jūwer	
3p	hiā	hiā	him	hira	
