	NOM	AKK	DAT	GEN
1s	jeg	meg	meg	min	
2s	du	deg	deg	din	
3s m	han	ham	ham	hans		
3s f	hun	henne	henne	hennes
3s n	det	det	det	dets
1p	vi	oss	oss	vår
2p	dere	dere	dere	deres
3p	de	dem	dem	deres
