	NOM	AKK	DAT	GEN	
1s	ég	mig	mér	mín	
2s	þú	þig	þér	þín	
3s m	hann	hann	honum	hans	
3s f	hún	hana	henni	hennar	
3s n	það	það	því	þess	
1p	við	okkur	okkur	okkar	
2p	þið	ykkur	ykkur	ykkar	
3p m	þeir	þá	þeim	þeirra				
3p f	þær	þær	þeim	þeirra				
3p n	þau	þau	þeim	þeirra			
