	NOM	AKK	DAT	GEN	
1s	ik	mik	mis	meina	
2s	thu	thuk	thus	theina	
3s m	is	ina	imma	is	
3s f	si	ija	izai	izos	
3s n	ita	ita	imma	is	
1p	weis	uns	uns	unsara				
2p	jut	igqis	igqis	igqara	
3p m	eis	ins	im	ize	
3p f	ijos	ijos	im	izo	
3p n	ija	ija	im	ize	
1d	wit	ugkis	ugkis	igkara				
2d	jus	izwis	izwis	izwara	
3d m	eis	ins	im	ize	
3d f	ijos	ijos	im	izo	
3d n	ija	ija	im	ize
