	NOM	AKK	DAT	GEN
1s	ic	mi	mi	mijns
2s	du	di	di	dijns
3s m	hi	hem	hem	sijns	
3s f	si	haer	haer	harer
3s n	het	het	hem	'es
1p	wi	ons	ons	onser
2p	ghi	u	u	uwer
3p	si	hen	hem	haer
