	NOM	AKK	DAT	GEN
1s	I	me	me	mine	
2s	you	you	you	yours	
3s m	he	him	him	his	
3s f	she	her	her	hers	
3s n	it	it	it	its	
1p	we	us	us	ours	
2p	you	you	you	yours	
3p	they	them	them	theirs	
