	NOM	AKK	DAT	GEN	
1s	ik	mî	mî	mîn	
2s	dû	dî	dî	dîn	
3s m	hê	ēne	ēme	sîn	
3s f	sê	sê	ēre	ēre	
3s n	it	it	ēme	sîn	
1p	wî	uns	uns	unser	
2p	gî	jû	jû	jûwer	
3p	sê	sê	em	ēre
