	NOM	AKK	DAT	GEN
1s	ik	mī	mī	mīn
2s	thu	thī	thī	thīn	
3s m	hē	imo	imo	sīn
3s f	sia	sia	iro	iro
3s n	it	it	imo	is
1p	wī	uns	uns	unsa
2p	gī	iu	iu	iuwa
3p	sia	sia	im	iro
