	NOM	AKK	DAT	GEN
1s	iċ	mē	mē	mīn	
2s	þū	þē	þē	þīn	
3s m	hē	hine	him	his	
3s f	hēo	hīe	hiere	hiere	
3s n	hit	hit	him	his	
1p	ƿē	ūs	ūs	ūre	
2p	ġē	ēoƿ	ēoƿ	ēoƿer	
3p	hīe	hīe	heora	him					
1d	ƿit	unc	unc	uncer	
2d	ġit	inc	inc	incer	
3d	hīe	hīe	heora	him
