1	s	m	G	15.82
1	s	f	G	7.89
2	s	m	G	10.65
2	s	f	G	5.31
3	s	m	G	25.27
3	s	f	G	12.59
1	p	m	G	3.11
1	p	f	G	1.55
2	p	m	G	4.67
2	p	f	G	2.33
3	p	m	G	4.52
3	p	f	G	2.25
1	d	m	G	0.37
1	d	f	G	0.19
2	d	m	G	0.56
2	d	f	G	0.28
3	d	m	G	0.54
3	d	f	G	0.27
1	s	m	V	15.82
1	s	f	V	7.89
2	s	m	V	10.65
2	s	f	V	5.31
3	s	m	V	25.27
3	s	f	V	12.59
1	p	m	V	3.11
1	p	f	V	1.55
2	p	m	V	4.67
2	p	f	V	2.33
3	p	m	V	4.52
3	p	f	V	2.25
1	d	m	V	0.37
1	d	f	V	0.19
2	d	m	V	0.56
2	d	f	V	0.28
3	d	m	V	0.54
3	d	f	V	0.27
