	NOM	INDIR	ERG	GEN	DAT
1s	ma͠i	mujh	ma͠i-ne	merā	mujh-ko
2vs 	tū	tujh	tū-ne	terā	tujh-ko
2hs	tum	tum	tum-ne	tumhārā	tum-ko
2js	āp	āp	āp-ne	āp-kā	āp-ko			
3es	ye	is	is-ne	is-kā	is-ko				
3xs	ye	in	inhõ-ne	in-kā	in-ko				
1p	ham	ham	ham-ne	hamārā	ham-ko	
2vp	tū	tujh	tū-ne	terā	tujh-ko
2hp	tum	tum	tum-ne	tumhārā	tum-ko
2jp	āp	āp	āp-ne	āp-kā	āp-ko					
3ep	vo	us	us-ne	us-kā	us-ko				
3xp	vo	un	unhõ-ne	un-kā	un-ko
