	NOM	ERG	DAT	ABL	GEN
1s	mẽ	mẽ	mennū̃	metthȭ	mērā
2s 	tū̃	tẽ	tennū̃	tetthȭ	tērā
3es	ḗ	is	is	is	is
3xs	ṓ	us	us	us	us
1p	asī̃	asā̃	sānnū̃	sātthȭ	sāḍḍā
2p	tusī̃	tusā̃	tuā̀nnū̃	tuā̀tthȭ	tuā̀ḍḍā
3ep	ḗ	énnā̃	énnā̃	énnā̃	énnā̃
3xp	ṓ	ónnā̃	ónnā̃	ónnā̃	ónnā̃
