	NOM	SUFF
1s	ʔano	-aaju	
2s m	ʔato	-aako
2s f	ʔato	-aaki			
3s m	ʔufo	-uusu	
3s f	ʔise	-iisi	
1p	ʔine	-aani	
2p	ʔatunɗe	-aakunɗe		
3p	ufunɗe	-uusunɗe		
