	NOM	SUFF
1s	ʾanākū̆	-kū̆
2s m	ʾantā̆	-tā̆
2s f	ʾantī̆	-tī̆
3s m	šuʾa	-a
3s f	šiʾa	-at
1p	niḥnū̆	-nū̆
2p m	ʾantum	-tum	
2p f	ʾantin	-tin
3p m	šumū	-ū
3p f	šinnā	-ā
1d	-	-nuyā
2d	ʾantumā	-tumā
3d	šumā	-ā
