	NOM	SUFF
1s	ʾœnœ	-nni
2s m	ʾɨntœ	-kkœ
2s f	ʾɨnti	-kki
3s m	hɨtu	-o
3s f	hɨtœ	-œœ
1p	ḥɨnœ	-nnœ
2p m	ʾɨntum	-kkum
2p f	ʾɨntɨn	-kkɨn
3p m	hɨtom	-om
3p f	hɨtœn	-œn
