	NOM	SUFF
1s	ʾəne	-ññ
2s m	ʾanta	-h
2s f	ʾantʃi	-ʃ
3s m	ʾəssu	-äw
3s f	ʾəsswa	-at
1p	ʾəñña	-n
2p	ʾənnantä	-atʃtʃuh
3p	ʾənnässu	-atʃtʃäw
