	NOM	SUFF
1s	nkki	-i	
2s m	kiji	-k	
2s f	kmmi	-m	
3s m	ntta	-s	
3s f	nttat	-s	
1p	nkkwni	-nx	
2p m	kwnni	-un	
2p f	kwnnint	-unt
3p m	nttni	-sn
3p f	nttnti	-snt	
