	NOM	SUFF
1s	ʔaanæ	-i
2s m	ʔæt	-ak
2s f	ʔatti	-ık
3s m	ʔuu	-e
3s f	ʔii	-a
1p	ʔaanan	-an
2p m	ʔætton	-kon
2p f	ʔættın	-kın
3p m	ʔinnon	-on
3p f	ʔinnın	-ın
