	NOM	SUFF
1s	ädi	-ddi
2s m	dähä	-dähä
2s f	däç	-däç
3s m	hwa	-hwta
3s f	ça	-ça
1p	ɨñña	-nna
2p m	dähɨmw	-dähɨmw
2p f	dähma	-dähma
3p m	hɨnnämw	-hɨnnämw
3p f	hɨnnämä	-hɨnnämä		
