	NOM	SUFF
1s	ʔenɔ	-any
2s m	ʔatt	-ɔḵ
2s f	ʔatt	-eḵ
3s m	hu	-eh
3s f	hi	-ɔh
1p	ħnan	-an
2p m	ʔatton	-ḵon
2p f	ʔatten	-ḵen
3p m	hennon	-ʔennon
3p f	hennen	-ʔennen
