	NOM	SUFF
1s	ʔana	-i
2s m	ʔenta	-ak
2s f	ʔenti	-ek
3s m	huwwe	-o
3s f	hiyye	-a
1p	niḥna	-na
2p	ʔentu	-kun
3p	hinne	-un
