	NOM	SUFF
1s	anaaku	-ii	
2s m	atta	-ka	
2s f	atti	-ki	
3s m	šuu	-šu	
3s f	šii	-ša	
1p	niinuu	-ni	
2p m	attunu	-kunu	
2p f	attina	-kina
3p m	šunu	-šunu
3p f	šina	-šina	
