	NOM	SUFF
1s	ʔani	-i
2s m	ʔata	-xa
2s f	ʔat	-ax
3s m	hu	-o
3s f	hi	-a
1p	ʔanaħnu	-anu
2p m	ʔatem	-xem
2p f	ʔaten	-xen
3p m	hem	-ahem
3p f	hen	-ahen
