	NOM	SUFF
1s	ʼaniik	-ii
2s m	ʼatta	-ka
2s f	ʼatti	-kii
3s m	huu	-o
3s f	hii	-a
1p	ʼanaḥnu	-en
2p m	ʾattim	-kom
2p f	ʾattin	-kin
3p m	heemaat	-om
3p f	heemaat	-am
