	NOM	SUFF
1s	ʾanɨ	-əj
2s m	nɨssɨka	-ka
2s f	nɨssɨki	-ki
3s m	nɨssu	-u
3s f	nɨssa	-a
1p	nɨḥna	-na
2p m	nɨssɨkatkum	-kum
2p f	nɨssɨkatkɨn	-kɨn
3p m	nɨssatom	-om
3p f	nɨssatən	-ən
1d	nɨḥna	-na
2d m	nɨssɨkum	-kum
2d f	nɨssɨkɨn	-kɨn
3d m	nɨssom	-om
3d f	nɨssən	-ən
