	NOM	SUFF
1s	ʔaniih	-iih	
2s m	ʔak	-ak	
2s f	ʔatʃ	-atʃ	
3s m	hooh	-ooh	
3s f	heeh	-aah	
1p	ʔanħaa	-naa	
2p m	ʔakkum	-kum	
2p f	ʔakkun	-kun
3p m	him	-aam
3p f	hin	-oom	
