	NOM	SUFF
1s	našš	-i	
2s m	šagg	-ək	
2s f	šamm	-əm	
3s m	nitto	-əs	
3s f	nittat	-əs	
1p	nakkanen	-naʕ	
2p m	šəkwen	-wən
2p f	šəkmaten	-əkmat
3p m	əntənen	-san
3p f	əntnaten	-əsnat		
