	NOM	SUFF
1s	ʔana	-na	
2s	ʔat	-t	
3s m	ʔihu	-nihu	
3s f	ʔihi	-nihi	
1p	ʔann	-nn	
2p	ʔaton	-tnn
3p m	ʔinhu	-ninhu
3p f	ʔinhi	-ninhi	
