	NOM	SUFF
1s	hooh	-i
2s m	heet	-ək
2s f	heet	-əʃ
3s m	hee	-əh
3s f	see	-əs
1p	nəḥaah	-ən
2p m	əteem	-əkəm
2p f	əteen	-əkən
3p m	heem	-əhəm
3p f	seen	-əsən
1d	kaj	-əki
2d	taj	-əki
3d	haj	-əhi
