	NOM	SUFF
1s	ʔana	-aj	
2s m	ʔugu	-oogi	
2s f	ʔigi	-oogu	
3s m	ʔina	-osi	
3s f	ʔina	-osi	
1p	dandiraj	-ooʔina	
2p	ʔunkuraj	-ooguna
3p	ʔinaj	-oori
