	NOM	SUFF
1s	ʾanä	-əyä
2s m	ʾantä	-əkä
2s f	ʾanti	-əki
3s m	wəʾətu	-u	
3s f	yəʾəti	-a
1p	nəḥnä	-ənä
2p m	ʾäntəmu	-əkəmu
2p f	ʾäntən	-əkən
3p m	ʾəmmuntu	-omu
3p f	ʾəmmantu	-on
