	NOM	SUFF
1s	ana	-aj
2s m	haatš	-ax
2s f	haaš	-iš
3s m	huuh	-e
3s f	hiih	-ah
1p	anaḥ	-aḥ
2p m	hatšᵊx	-x
2p f	hatšxen	-xen
3p m	hiin	-
3p f	hinnen	-en
