	NOM	SUFF
1s	ani	-uu	
2s m	baruuk	-uuk	
2s f	batuuk	-uuk	
3s m	baruus	-uus	
3s f	batuus	-uus	
1p	hinin	-uun	
2p m	baraakna	-uukna		
2p f	bataakna	-uukna
3p m	baraasna	-uusna
3p f	bataasna	-uusna	
