	NOM	SUFF
1s	an	-iyyo	
2s m	ank	-ax	
2s f	anč	-ax	
3s m	ɨwhat	-iwwat	
3s f	ɨyyat	-iyyat
1p	ɨnna	-inna	
2p	ankum	-axum	
3p	ɨllɜm	-ɨllɜm
