	NOM	SUFF
1s	ʔitá	ʔím
2s m	aaná	áam
2s f	aaná	áam
3s m	nóo	kím
3s f	náa	kóm
1p	wootá	wóm
2p	jetá	yém
3p	ketá	kém		
