	NOM	SUFF
1s	ʔana	-i
2s m	ʔinta	-ak
2s f	ʔinti	-ek
3s m	huwwe	-o
3s f	hiyye	-ha
1p	ʔiḥna	-na
2p	ʔintu	-ku
3p	homme	-hom
