	NOM	SUFF
1s	ănii	-ii
2s m	ʔattɔɔ	-ḵɔɔ
2s f	ʔat	-eeḵ
3s m	huu	-oo
3s f	hii	-ɔɔh
1p	ʔănaħnuu	-nuu
2p m	ʔattɛm	-ḵɛm	
2p f	ʔatteenɔɔ	-ḵɛn
3p m	heemmɔɔ	-hɛm	
3p f	heennɔɔ	-hɛn	
