	NOM	SUFF
1s	ʼanookii	-ii
2s m	ʼattaa	-kaa
2s f	ʼattii	-kii
3s m	huʼa	-oo
3s f	hiʼa	-aa
1p	ʼanaḥnuu	-on
2p m	ʾattim	-kum
2p f	ʾattin	-kin
3p m	himuut	-nom
3p f	himuut	-nam
