	NOM	SUFF
1s	anaa	-ii
2s m	intaa	-ak
2s f	intii	-ik
3s m	huwwaa	-uu
3s f	hijjaa	-haa
1p	iħnaa	-naa
2p	intuu	-kuu
3p	hummaa	-hum
