	NOM	SUFF
1s	ana	-i
2s m	hačči	-ax
2s f	hašši	-iš
3s m	huu	-e
3s f	hii	-a
1p	anaḥ	-naḥ
2p m	hačxun	-xun
2p f	hačxen	-xen
3p m	hinnun	-hun
3p f	hinnen	-hen
