	NOM	SUFF
1s	ʔanaa	-ii
2s m	ʔanta	-ka
2s f	ʔanti	-ki
3s m	huwa	-hu
3s f	hiya	-haa
1p	naḥnu	-naa
2p m	ʔantum	-kum
2p f	ʔantunna	-kunna
3p m	hum	-hum
3p f	hunna	-hunna
1d	naḥnu	-naa
2d	ʔantumaa	-kumaa
3d	humaa	-humaa
