	NOM	SUFF
1s	ho	-i	
2s m	ʾɛ	-k	
2s f	ʾi	-ʃ	
3s m	jʰe	-ʃ	
3s f	se	-s	
1p	ħan	-en	
2p m	ten	-ken	
2p f	ten 	-ken	
3p m	jʰen	-jihen	
3p f	sen	-sen	
1d	ki	-ki	
2d	ti	-ki	
3d	jʰi	-hi	
