	NOM	SUFF
1s	ʾanaaku	-ya	
2s m	ʾatta	-ka
2s f	ʾatti	-ki	
3s m	huwa	-hu	
3s f	hiya	-ha	
1p	ʾanaħnu	-na	
2p m	ʾattumu	-kum	
2p f	ʾattina	-kinna	
3p m	humu	-hum
3p f	hinna	-hinna	
1d	ʾanaħnu	-nayaa	
2d	ʾattumaa	-kumaa	
3d	humaa	-humaa	
