	NOM	SUFF
1s	ʾanākū̆	-nī
2s m	ʾantā̆	-kā̆
2s f	ʾantī̆	-kī̆
3s m	šuʾa	-šū̆
3s f	šiʾa	-šā̆
1p	niḥnū̆	-nā̆	
2p m	ʾantum	-kum	
2p f	ʾantin	-kin
3p m	šumū	-šum
3p f	šinnā	-šin
1d	-	-nayā
2d	ʾantumā	-kumā
3d	šumā	-šumā
