	NOM	SUFF
1s	ädi	-ddi	
2s m	dähä	-dä	
2s f	däš	-däš	
3s m	kʷa	-hʷan	
3s f	kʸa	-hi	
1p	əñña	-ñña	
2p m	dähəm	-dähəm	
2p f	dähma	-dähma
3p m	kənnäm	-hənnäm
3p f	kənnäma	-hənnäm	
