	NOM	SUFF
1s	ana	-
2s m	hatsts	-ax
2s f	hašš	-iš
3s m	huu	-i
3s f	hii	-a
1p	anaḥ	-aḥ
2p	hatsxun	-xun
3p	hinn	-un
