	NOM	SUFF
1s	ink	-i	
2s m	ntk	-k	
2s f	ntṯ	-ṯ	
3s m	ntf	-f	
3s f	nts	-s	
1p	inn	-n	
2p	ntṯn	-ṯn	
3p	ntsn	-sn	
